code,project_name,field,cost_total,benefit_npv,cost_year_1_2,cost_year_3_5,completion_probability,benefit_cost_ratio,expected_benefit
P1,Trung tâm dữ liệu quốc gia Hòa Lạc,Hạ tầng,12000,21500,8500,3500,0.85,1.7916666666666667,18275.0
P2,Trung tâm dữ liệu quốc gia phía Nam,Hạ tầng,11500,20800,7500,4000,0.85,1.808695652173913,17680.0
P3,Hệ thống 5G phủ sóng toàn quốc,Hạ tầng,18000,32500,12000,6000,0.85,1.8055555555555556,27625.0
P4,Hệ thống định danh điện tử VNeID 2.0,Chính phủ số,4500,9200,3500,1000,0.75,2.0444444444444443,6900.0
P5,Cổng dịch vụ công quốc gia v3,Chính phủ số,3200,6800,2500,700,0.75,2.125,5100.0
P6,Y tế số quốc gia (hồ sơ sức khỏe),Y tế số,5800,11400,4000,1800,0.8,1.9655172413793103,9120.0
P7,Giáo dục số K-12 toàn quốc,Giáo dục,6500,12200,4500,2000,0.8,1.876923076923077,9760.0
P8,Trung tâm AI quốc gia + supercomputing,AI,15000,28500,9000,6000,0.65,1.9,18525.0
P9,Sandbox tài chính số (fintech),Tài chính số,2500,5800,1800,700,0.8,2.32,4640.0
P10,Logistics thông minh + cảng biển số,Logistics,7200,13800,5000,2200,0.8,1.9166666666666667,11040.0
P11,Nông nghiệp số ĐBSCL,Nông nghiệp,4800,8500,3500,1300,0.8,1.7708333333333333,6800.0
P12,Đào tạo 50.000 kỹ sư AI/bán dẫn,Nhân lực,8500,16200,5500,3000,0.8,1.9058823529411764,12960.0
P13,Khu CN bán dẫn Bắc Ninh - Bắc Giang,Bán dẫn,20000,35000,13000,7000,0.65,1.75,22750.0
P14,An ninh mạng quốc gia (SOC),An ninh,3800,7500,2800,1000,0.8,1.9736842105263157,6000.0
P15,Open Data + dữ liệu mở quốc gia,Dữ liệu,1500,3800,1200,300,0.8,2.533333333333333,3040.0
